dataset_name,3,4,5,6,7
BPIC_12,222939,213281,203623,193965,186181
BPIC_12_A,21588,14290,9180,4492,2246
BPIC_12_O,16199,11335,7696,6258,4820
BPIC_12_W,141134,133665,126200,119235,112608
BPIC_13_C,2694,1957,1398,957,714
BPIC_13_I,42883,37101,32193,27709,23964
BPIC_15_1,48622,47428,46236,45048,43869
BPIC_15_2,41862,41032,40202,39373,38547
BPIC_15_3,55454,54049,52648,51271,49909
BPIC_15_4,44137,43088,42041,40995,39950
BPIC_15_5,55615,54459,53303,52150,50997
BPIC_18_C,29872,17870,11479,7665,5232
BPIC_18_G,482032,452973,429382,406480,383980
BPIC_18_P,88713,74064,63291,53004,44015
BPIC_20_DD,25210,15075,6384,2894,1897
BPIC_20_ID,52804,46365,39926,33503,27222
BPIC_20_PTC,11963,9894,7847,5897,4138
BPIC_20_RFP,16290,9878,4110,1717,1128
BPIC_20_TPD,65386,58335,51285,44440,37884
Helpdesk,7609,3238,1368,589,264
Hospital_Billing,204480,137173,70667,27063,18613
Sepsis,12064,11049,10035,9082,8161
Traffic_Fines,177116,97017,17144,3318,2029
